编号	分类	内容属性	逐篇摘要
0	C 识别规则与主体实务	实务问答	20问串联备案、识别、BOMIS核验、部门分工、材料留存和持续监控，并讨论VIE、境外企业、社会组织等复杂主体。
1	A 制度与监管框架	法规解读	围绕登记代理业务，梳理客户尽调、可疑交易报告、资料保存、特别预防措施及内控要求，并连接实名登记与反电诈。
2	E 加强尽调与风险案例	案例分析	从冒名登记企业向上追股东、向下查投资，归纳假冒国资机构、缺少实质经营、批量命名等线索及撤销登记后果。
3	B 备案操作与指南	历史办事指引	针对2025年存量主体备案节点，汇总备案范围、厂商统计的主体数量、各地入口与咨询渠道；时点信息应按历史资料使用。
4	A 制度与监管框架	法规解读与统计	介绍强制注销的适用条件、公告异议和恢复登记流程，并估算可能涉及的公司数量；主体状态变化是尽调背景信息。
5	A 制度与监管框架	征求意见稿转载	保存2025年10月受益所有人识别管理办法征求意见稿，涵盖标准、核实、加强措施、差异反馈和责任，用于追溯制度演变。
6	A 制度与监管框架	处罚统计	按所在部门条线和人员职务分析2025年前三季度个人反洗钱处罚，凸显业务、运营、合规及管理层的履职责任。
7	B 备案操作与指南	历史办事指引	汇总全国32省市备案操作图例、入口及服务热线，并记录当时部分地区延期情况；操作细节大量位于图片中。
8	E 加强尽调与风险案例	反诈案例与治理资讯	以真律师受骗和假律师行骗两类案例，讨论身份冒用、紧急话术、异常收款及法律咨询服务机构治理。
9	F 产品方案与机构实践	建设方案与愿景	梳理证券行业人工穿透、主观判断和系统割裂问题，按经纪、投行、资管设计嵌入节点；文中多项内容属于建设目标或未来愿景。
10	E 加强尽调与风险案例	样本归纳	从银行拦截电诈案例中归纳情绪、沟通、动作和手机使用异常，适合作为一线访谈与观察素材；比例仅反映文章样本。
11	A 制度与监管框架	法规解读	按七类金融机构归纳客户尽调和资料保存要求的共性与差异，涉及触发场景、风险分层、持续尽调及行业特定业务。
12	A 制度与监管框架	制度综述	把反洗钱反恐怖融资放入机构设立、股东审查、高管任职和日常经营全过程，强调治理架构及跨条线责任。
13	H 活动预告与会议资讯	会议预告	预告反洗钱研讨会，议题为虚拟货币洗钱、机构风险自评估和受益所有人难点；不包含完整研讨结论。
14	C 识别规则与主体实务	规则与图例	用五种常见情形说明同一人符合多标准、不同人分别达标及非股权控制，强调识别结果完整性与证据支撑。
15	H 活动预告与会议资讯	会议回顾	回顾2025年12月研讨会及三大议题，主要记录交流方向和厂商定位，细化操作方法有限。
16	F 产品方案与机构实践	具名项目报道	报道国元证券通过证联网对接BOMIS及系统投产，介绍传输、信息管理、留痕和报送功能；AI深化与外部动态监测亦有展望内容。
17	F 产品方案与机构实践	产品方案	介绍企查查标准识别、加强核实、差异佐证、持续更新、存量处理及咨询六类服务，覆盖接口、平台和部署形态。
18	B 备案操作与指南	指南转载与版本说明	保存第二版备案指南，突出特殊持股主体、权利形成日期等新增内容，可与第一版及另一目录的版本解读对读。
19	F 产品方案与机构实践	具名项目报道	报道湖北银行引入企查查受益所有人服务，涉及准入识别、公开佐证、信息变化监测与业务咨询；成效主要为定性表述。
20	F 产品方案与机构实践	匿名机构案例	讨论公募基金直销与代销的信息获取差异，以及识别、多源核实和持续管理方案；匿名案例不能用于独立确认客户名单。
21	G 国际名单与制裁合规	时点名单资讯	记录文章发布时FATF黑灰名单及增减变化，区分反制措施与强化尽调表述；属于2026年2月快照。
22	D 核实举证、差异反馈与持续识别	专题方案	围绕多源比对、关系图谱、历史追溯和佐证归集生成差异报告初稿，并区分机构识别错误与客户备案错误的后续处理。
23	A 制度与监管框架	监管动态综述	整理2026年初配套规章、工作会议及旧规范性文件清理，呈现国际评估、制度落实和风险监管的年度主题。
24	E 加强尽调与风险案例	准入案例与产品介绍	以短期突变为央企背景的客户为例，通过官方声明、历史股东和实际控制关系核实假冒国企，说明简化识别条件核验的重要性。
25	D 核实举证、差异反馈与持续识别	差异分类实务	梳理人员、身份要素、权利状况、备案类型、应备未备及其他实质性差异六类情形，并讨论部分非重大差异边界。
26	F 产品方案与机构实践	AI工具演示	演示MCP调用工商、股权、风险和关联数据，辅助初筛、风险建议与报告初稿；五分钟为文章演示口径，不能据此认定完成全部尽调。
27	A 制度与监管框架	年报二次分析	以文中已披露年报的15家银行为样本，归纳制度修订、三道防线、尽调集中运营、交易监测和AI应用等方向。
28	D 核实举证、差异反馈与持续识别	材料体系与服务介绍	区分公开与非公开佐证材料，介绍股东、主要人员、公示报告、穿透图谱及上市披露材料，关注材料适用性和交叉验证。
29	E 加强尽调与风险案例	风险触发与措施方案	把复杂结构、异常变化、涉案及疑似空壳等风险线索与补充资料、走访、监测、审批和阈值调整连接，附存量客户推进方案。
30	H 活动预告与会议资讯	直播预告	征集佐证材料、客户类型、产品识别、形成日期、持续更新及人工衔接等问题，属于需求线索而非问题解答。
31	G 国际名单与制裁合规	事件解读与产品发布	围绕文章所述阻断禁令，介绍中国反制裁工具及数据库，体现境内外名单和涉外背景核验的交叉需求。
32	H 活动预告与会议资讯	直播预告	将一线问题归为客户类型、识别标准、权利状况、材料、差异报告、最终判定、持续识别和核验主体八类。
33	C 识别规则与主体实务	实务问答	解答存量分批、分支机构、多标准识别、权利形成日期和材料取舍，强调不同自然人结果不能因标准优先级而遗漏。
34	D 核实举证、差异反馈与持续识别	实务问答	延续上篇，集中讨论差异报告结构、境外与交叉持股、持续识别和BOMIS核验对象，补充完整流程的边界问题。
35	F 产品方案与机构实践	具名项目报道	报道宁波银行引入受益所有人查询及RPA资料留存，以识别、佐证、监控连接业务全过程；厂商通用功能与项目实际范围需区分。
36	F 产品方案与机构实践	签约及能力宣传	介绍多类金融机构签约与产品的数据时效、准确性和行业适配；未逐一披露客户及验收指标。
37	G 国际名单与制裁合规	事件解读与产品介绍	讨论出口管制名单与政府采购限制的联动，提出供应链、客户和终端用户名单核查需求；具体事件和名单按文章时点保存。
38	G 国际名单与制裁合规	时点名单资讯	保存2026年6月FATF黑灰名单及增减情况，可与2月文章对读；不能直接作为当前名单使用。
39	F 产品方案与机构实践	半年产品更新	归纳加强识别、佐证材料、差异报告、基金产品四类升级，并介绍双岗审核、报告模块及复杂结构支持等厂商能力。
40	C 识别规则与主体实务	规则解读与产品逻辑	解释同人多标准、多人不同标准及已披露实控人的推荐顺序，明确推荐与完整识别结果的区别。
41	D 核实举证、差异反馈与持续识别	持续识别专题	以人数增减和关系类型变更讨论重大变化，串联重新识别、核验和差异报告；三类概括不宜直接当作穷尽事件规则。
42	E 加强尽调与风险案例	风险关联案例	将官方假冒国企公告与其投资子公司关联，说明历史投资、经营异常和身份背景风险的传播及加强识别线索。
43	F 产品方案与机构实践	双周产品更新	介绍形成日期口径、法规依据展示、总分公司异常、疑似假冒国企和强制注销主体等边缘场景的产品迭代。
44	B 备案操作与指南	备案问答	用七问汇总备案主体、承诺免报、识别标准、信息字段、形成日期及更新节点，并介绍填报前辅助查询。
45	C 识别规则与主体实务	分支机构专题	区分境内外分支机构，介绍总公司注销或关联缺失时的厂商处理及材料留存；关联缺失处理细节主要位于图片。
46	C 识别规则与主体实务	概念辨析与案例	比较受益所有人与实际控制人的范围、自然人要求及交叉关系，结合股权、收益和控制场景解释识别对象。
